Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Ano notificação e UF de notificação
Período:2020-2022
"Ano notificação";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2020";588;305;133;74;440;31;322;183;56;768;1569;624;2145;272;528;5044;1378;104;313;1163;207;224;331;345;842;186;2692;20867
"2021";294;622;223;194;252;116;788;105;104;1701;919;2528;4414;450;1142;2120;401;-;194;966;79;162;265;415;401;150;85;19090
"2022";315;104;360;118;578;119;2234;1323;389;2923;8073;2567;5178;1290;1401;2984;554;-;218;1100;129;551;504;1276;418;305;110;35121
"Total";1197;1031;716;386;1270;266;3344;1611;549;5392;10561;5719;11737;2012;3071;10148;2333;104;725;3229;415;937;1100;2036;1661;641;2887;75078
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídos todos os registros notificados.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Casos notificados no Sinan Net.
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de ARBOVIROSES
 urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Dados de 2016 atualizados em 08/05/2018.
 Dados de 2017 atualizados em 29/06/2018.
 Dados de 2018 atualizados em 19/09/2019.
 Dados de 2019 atualizados em 02/07/2020.
 Dados de 2020 atualizados em 27/01/2022.
 Dados de 2021 atualizados em 10/05/2023.
 Dados de 2022 atualizados em 13/07/2023.
 Dados de 2023 atualizados em 16/04/2024.
 Dados de 2024 atualizados em 23/07/2025 às 12:00 horas.
 Dados de 2025 atualizados em 03/10/2025 às 12:55 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em outubro de 2025.
 
